satisfaction_level,last_evaluation,number_of_projects,average_monthly_hours,years_at_company,work_accident,left,promotion_last_5years,department,test,salary
0.48,0.95,3,184,2,0,0,0,RandD,0.01548913,high
0.97,0.97,5,171,2,0,0,0,sales,0.028362573,high
0.9,0.96,3,223,4,0,0,0,sales,0.012914798,high
0.57,0.87,4,148,3,0,0,0,sales,0.023513514,high
0.84,0.79,6,140,2,0,0,0,accounting,0.033857143,high
0.84,0.74,4,226,2,0,0,0,accounting,0.013097345,high
0.17,0.93,5,183,5,0,0,0,accounting,0.025409836,high
0.97,0.86,5,135,3,0,0,0,hr,0.031851852,high
0.94,0.66,3,236,2,0,0,0,hr,0.008389831,high
0.92,0.53,2,249,2,0,0,0,IT,0.004257028,high
0.96,0.67,5,170,3,0,0,0,marketing,0.019705882,high
0.21,0.57,5,239,3,0,0,0,sales,0.011924686,high
0.5,0.56,5,185,2,0,0,0,sales,0.015135135,high
0.74,0.86,3,186,3,1,0,0,sales,0.013870968,high
0.5,0.82,3,213,3,0,0,0,sales,0.011549296,high
0.27,0.62,6,136,3,0,0,0,sales,0.027352941,high
0.76,0.52,2,148,3,0,0,0,sales,0.007027027,high
0.41,0.87,6,262,6,0,0,0,sales,0.019923664,high
0.52,0.54,5,247,4,0,0,0,technical,0.010931174,high
0.82,0.99,3,195,2,0,0,0,support,0.015230769,high
0.99,0.96,5,261,3,0,0,0,support,0.018390805,high
0.55,0.55,3,197,3,0,0,0,support,0.008375635,high
0.88,0.98,3,263,3,1,0,0,technical,0.011178707,high
0.99,0.9,4,164,3,0,0,0,product_mng,0.02195122,high
0.78,0.96,4,111,2,0,0,0,sales,0.034594595,high
0.74,0.68,4,194,2,0,0,0,management,0.014020619,high
0.8,0.93,4,258,3,0,0,0,sales,0.014418605,high
0.89,0.7,4,235,2,1,0,0,accounting,0.011914894,high
0.83,0.84,3,267,3,0,0,0,product_mng,0.009438202,high
0.59,0.83,4,239,4,0,0,0,hr,0.013891213,high
0.89,0.66,4,235,3,0,0,0,IT,0.011234043,high
0.87,0.62,3,176,3,0,0,0,accounting,0.010568182,high
0.71,0.36,4,278,4,1,0,0,product_mng,0.005179856,high
0.73,0.83,4,270,2,0,0,0,hr,0.012296296,high
0.78,0.91,3,238,2,0,0,0,RandD,0.011470588,high
0.76,0.74,4,235,3,0,0,0,RandD,0.012595745,high
0.35,0.7,3,107,3,0,0,0,RandD,0.019626168,high
0.88,0.59,6,243,4,0,0,0,RandD,0.014567901,high
0.78,0.79,5,233,3,1,0,0,RandD,0.01695279,high
0.36,0.42,3,206,5,0,0,0,marketing,0.006116505,high
0.24,0.7,5,172,4,0,0,0,sales,0.020348837,high
0.55,0.82,3,248,2,0,0,0,accounting,0.009919355,high
0.91,0.53,3,147,4,1,0,0,support,0.010816327,high
0.66,0.61,5,259,3,0,0,0,technical,0.011776062,high
0.57,0.82,3,267,3,0,0,0,management,0.009213483,high
0.64,0.64,3,263,3,0,0,0,marketing,0.00730038,high
0.7,0.57,4,211,3,0,0,0,hr,0.010805687,high
0.54,0.91,3,249,3,0,0,0,technical,0.010963855,high
0.42,0.86,2,108,5,0,0,0,technical,0.015925926,high
0.96,0.75,4,165,3,0,0,0,technical,0.018181818,high
0.58,0.8,3,181,4,0,0,0,technical,0.013259669,high
0.61,0.59,3,237,2,0,0,0,technical,0.007468354,high
0.62,0.97,5,180,2,0,0,0,technical,0.026944444,high
0.68,0.7,3,209,3,0,0,0,technical,0.010047847,high
0.7,0.83,5,261,4,0,0,0,RandD,0.015900383,high
0.19,0.99,3,154,2,0,0,0,sales,0.019285714,high
0.96,0.81,4,211,3,0,0,0,sales,0.01535545,high
0.63,0.89,4,192,2,0,0,0,sales,0.018541667,high
0.76,0.72,5,228,2,0,0,0,sales,0.015789474,high
0.78,0.92,3,169,3,0,0,0,sales,0.016331361,high
0.54,0.8,3,232,2,0,0,0,accounting,0.010344828,high
0.6,0.81,2,214,3,0,0,0,hr,0.007570093,high
0.55,0.74,3,211,3,1,0,0,technical,0.010521327,high
0.55,0.63,3,201,2,1,0,0,support,0.009402985,high
0.17,0.88,6,226,3,1,0,0,technical,0.023362832,high
0.8,0.67,3,164,3,0,0,0,IT,0.012256098,high
0.95,0.87,3,208,2,0,0,0,IT,0.012548077,high
0.74,0.57,4,172,3,0,0,0,product_mng,0.013255814,high
0.83,0.8,4,274,3,0,0,0,RandD,0.011678832,high
0.68,0.55,4,215,4,0,0,0,sales,0.010232558,high
0.58,0.79,5,262,2,0,0,0,sales,0.015076336,high
0.69,0.9,5,226,4,0,0,0,sales,0.019911504,high
0.84,0.73,3,146,5,1,0,0,technical,0.015,high
0.58,0.65,4,248,4,0,0,0,marketing,0.010483871,high
0.89,0.52,3,164,3,0,0,0,technical,0.009512195,high
0.57,0.56,3,224,2,0,0,0,sales,0.0075,high
0.56,0.48,4,197,3,1,0,0,technical,0.009746193,high
0.94,0.76,4,231,3,1,0,0,RandD,0.013160173,high
0.96,0.83,4,132,6,0,0,0,technical,0.025151515,high
0.86,1,3,192,3,0,0,0,marketing,0.015625,high
0.65,0.57,3,137,4,1,0,0,sales,0.012481752,high
0.61,0.97,3,199,3,1,0,0,accounting,0.014623116,high
0.53,0.96,3,181,3,1,0,0,support,0.015911602,high
0.14,0.76,5,260,6,0,0,0,technical,0.014615385,high
0.74,1,4,199,4,0,0,0,management,0.020100503,high
0.47,0.62,6,171,5,1,0,0,marketing,0.021754386,high
0.6,0.56,4,260,3,0,0,0,marketing,0.008615385,high
0.81,0.58,3,243,4,0,0,0,marketing,0.007160494,high
0.95,0.59,2,154,4,0,0,0,sales,0.007662338,high
0.98,0.8,2,201,2,0,0,0,sales,0.007960199,high
0.52,0.8,5,234,3,0,0,0,sales,0.017094017,high
0.9,0.74,3,260,4,0,0,0,technical,0.008538462,high
0.64,0.93,5,198,2,0,0,0,technical,0.023484848,high
0.63,0.9,2,242,3,1,0,0,technical,0.007438017,high
0.87,0.89,4,219,4,0,0,0,technical,0.016255708,high
0.6,0.55,4,204,3,0,0,0,technical,0.010784314,high
0.7,0.74,3,157,3,0,0,0,technical,0.014140127,high
0.15,0.94,5,244,6,0,0,0,technical,0.019262295,high
0.45,0.75,3,122,3,0,0,0,support,0.018442623,high
0.5,0.58,4,165,2,0,0,0,sales,0.014060606,high
0.87,0.82,4,251,3,0,0,0,sales,0.013067729,high
0.71,0.99,4,238,4,1,0,0,sales,0.016638655,high
0.98,0.87,4,152,2,0,0,0,sales,0.022894737,high
0.65,0.77,3,233,2,0,0,0,sales,0.009914163,high
0.53,0.88,3,150,3,1,0,0,accounting,0.0176,high
0.88,0.65,4,224,2,0,0,0,hr,0.011607143,high
0.62,0.7,5,270,3,0,0,0,technical,0.012962963,high
0.98,0.5,4,264,3,0,0,0,technical,0.007575758,high
0.76,0.95,2,156,4,0,0,0,support,0.012179487,high
0.68,0.61,5,271,2,0,0,0,IT,0.011254613,high
0.95,0.6,2,144,3,0,0,0,IT,0.008333333,high
0.64,0.89,3,175,3,1,0,0,product_mng,0.015257143,high
0.21,0.72,3,245,6,0,0,0,IT,0.008816327,high
0.83,0.88,3,217,2,1,0,0,support,0.012165899,high
0.8,0.41,3,188,4,0,0,0,sales,0.006542553,high
0.4,0.59,3,207,6,0,0,0,sales,0.008550725,high
0.78,0.98,5,252,3,0,0,0,sales,0.019444444,high
0.53,0.99,3,188,3,0,0,0,technical,0.015797872,high
0.92,0.94,5,253,2,0,0,0,technical,0.018577075,high
0.92,0.78,5,193,4,0,0,0,technical,0.020207254,high
0.66,0.68,4,152,3,0,0,0,marketing,0.017894737,high
0.52,0.72,2,160,2,0,0,0,technical,0.009,high
0.55,0.48,3,162,3,0,0,1,management,0.008888889,high
0.86,0.56,4,247,3,0,0,1,technical,0.009068826,high
0.49,0.71,2,117,3,0,0,0,marketing,0.012136752,high
0.94,0.89,3,230,3,1,0,0,marketing,0.011608696,high
0.99,0.91,3,241,2,0,0,0,sales,0.011327801,high
0.69,0.84,3,227,3,1,0,0,sales,0.011101322,high
0.88,0.59,5,147,4,0,0,0,sales,0.020068027,high
0.89,0.9,3,240,3,0,0,0,sales,0.01125,high
0.8,0.58,4,238,2,0,0,0,sales,0.009747899,high
0.22,0.89,4,262,4,0,0,0,sales,0.013587786,high
0.87,0.83,4,215,2,0,0,0,sales,0.01544186,high
0.66,0.66,3,211,4,0,0,0,sales,0.009383886,high
0.9,0.68,3,156,3,1,0,0,sales,0.013076923,high
0.95,0.54,4,180,5,0,0,0,sales,0.012,high
0.49,0.79,4,158,3,0,0,0,support,0.02,high
0.17,0.83,6,195,5,0,0,0,support,0.025538462,high
0.98,0.81,3,180,2,1,0,0,support,0.0135,high
0.9,1,2,114,5,0,0,0,support,0.01754386,high
0.24,0.89,5,228,4,1,0,0,support,0.019517544,high
0.92,0.79,5,243,3,1,0,0,support,0.016255144,high
0.36,0.72,3,179,3,0,0,0,support,0.012067039,high
0.19,0.76,2,158,3,0,0,0,support,0.009620253,high
0.63,0.93,3,236,4,0,0,0,sales,0.011822034,high
0.65,0.84,4,247,4,0,0,0,accounting,0.013603239,high
0.62,0.77,4,256,3,0,0,0,accounting,0.01203125,high
0.86,0.72,4,178,2,0,0,0,hr,0.016179775,high
0.53,0.76,2,204,4,0,0,0,hr,0.00745098,high
0.72,0.74,3,243,2,0,0,0,technical,0.009135802,high
0.16,0.78,4,280,6,0,0,0,technical,0.011142857,high
0.77,0.61,4,178,2,1,0,0,support,0.013707865,high
0.56,0.76,3,134,2,0,0,0,support,0.017014925,high
0.56,0.85,3,225,3,0,0,0,IT,0.011333333,high
0.82,0.75,5,160,3,1,0,0,product_mng,0.0234375,high
0.6,0.9,4,178,3,0,0,1,RandD,0.020224719,high
0.7,0.64,4,178,3,1,0,1,marketing,0.014382022,high
0.97,0.61,4,167,3,0,0,1,accounting,0.014610778,high
0.78,0.54,5,257,3,0,0,0,sales,0.010505837,high
0.77,0.82,3,147,4,0,0,0,sales,0.016734694,high
0.95,0.56,5,194,2,0,0,0,sales,0.01443299,high
0.84,0.83,3,215,3,0,0,0,accounting,0.011581395,high
0.67,0.81,4,168,2,0,0,0,support,0.019285714,high
0.71,0.88,4,266,3,0,0,0,sales,0.013233083,high
0.5,0.85,4,224,6,0,0,0,support,0.015178571,high
0.92,0.92,3,244,2,0,0,0,sales,0.011311475,high
0.67,0.71,4,173,3,0,0,0,support,0.016416185,high
0.14,0.81,4,138,3,1,0,0,sales,0.023478261,high
0.72,0.59,3,255,2,0,0,0,support,0.006941176,high
0.58,0.5,4,225,3,0,0,0,support,0.008888889,high
0.97,0.87,2,175,6,0,0,0,support,0.009942857,high
0.92,0.55,3,172,2,0,0,0,technical,0.009593023,high
0.96,0.51,3,237,4,0,0,0,technical,0.006455696,high
0.73,0.87,4,155,3,1,0,0,technical,0.022451613,high
0.73,0.71,4,148,3,0,0,0,management,0.019189189,high
0.53,0.83,4,246,3,0,0,0,IT,0.013495935,high
0.17,0.82,5,193,5,0,0,0,IT,0.021243523,high
0.49,0.54,6,214,3,0,0,0,sales,0.015140187,high
0.44,0.36,2,136,3,0,0,0,technical,0.005294118,high
0.57,0.56,2,159,3,0,0,0,technical,0.007044025,high
0.73,0.86,4,133,3,0,0,0,technical,0.025864662,high
0.64,0.95,3,154,4,0,0,0,technical,0.018506494,high
0.86,0.96,4,167,3,0,0,0,support,0.022994012,high
0.77,0.57,4,203,3,1,0,0,support,0.011231527,high
0.89,0.93,5,150,2,0,0,0,support,0.031,high
0.51,0.58,4,140,3,0,0,0,technical,0.016571429,high
0.62,0.73,4,191,3,0,0,0,RandD,0.015287958,high
0.21,0.74,5,141,4,0,0,0,accounting,0.026241135,high
0.26,0.71,6,189,2,0,0,0,marketing,0.022539683,high
0.79,0.59,2,157,6,0,0,0,sales,0.007515924,high
0.34,0.87,4,283,2,0,0,0,sales,0.01229682,high
0.8,0.55,4,269,3,0,0,0,sales,0.008178439,high
0.55,0.8,4,260,3,0,0,0,hr,0.012307692,high
0.71,0.97,3,189,3,1,0,0,technical,0.015396825,high
0.64,0.65,3,181,2,0,0,0,technical,0.010773481,high
0.5,0.38,5,175,4,0,0,0,technical,0.010857143,high
0.64,0.78,5,148,4,0,0,0,sales,0.026351351,high
0.79,0.54,4,244,3,0,0,0,management,0.008852459,high
0.54,0.72,5,206,4,0,0,0,sales,0.017475728,high
0.33,0.82,2,114,5,0,0,0,technical,0.014385965,high
0.66,0.5,4,263,3,0,0,0,sales,0.007604563,high
0.98,0.92,3,254,3,0,0,0,technical,0.010866142,high
0.96,0.82,4,201,2,0,0,0,sales,0.016318408,high
0.5,0.78,3,206,3,1,0,1,sales,0.011359223,high
0.98,0.57,5,141,3,0,0,1,sales,0.020212766,high
0.85,0.57,4,150,3,0,0,1,sales,0.0152,high
0.72,0.75,3,166,3,0,0,1,sales,0.013554217,high
0.78,0.83,4,252,2,0,0,1,sales,0.013174603,high
0.62,0.43,2,106,2,0,0,1,sales,0.008113208,high
0.64,0.38,5,171,6,1,0,1,accounting,0.011111111,high
0.24,0.5,4,232,3,0,0,1,accounting,0.00862069,high
0.84,0.78,5,172,2,0,0,1,accounting,0.022674419,high
0.61,0.61,4,239,2,0,0,1,hr,0.010209205,high
0.79,0.71,4,222,3,0,0,1,hr,0.012792793,high
0.85,0.56,5,203,3,0,0,0,management,0.013793103,high
0.77,0.52,3,210,3,1,0,0,IT,0.007428571,high
0.61,0.97,4,198,2,0,0,0,IT,0.01959596,high
0.74,0.54,3,175,3,1,0,0,IT,0.009257143,high
0.56,0.85,5,245,3,0,0,0,IT,0.017346939,high
0.28,0.97,4,102,3,0,0,0,IT,0.038039216,high
0.86,0.68,2,192,3,0,0,0,product_mng,0.007083333,high
0.63,0.78,4,160,2,0,0,0,product_mng,0.0195,high
0.69,0.75,3,179,2,1,0,0,sales,0.012569832,high
0.54,0.58,3,169,2,1,0,0,technical,0.010295858,high
0.49,0.99,6,205,5,0,0,0,technical,0.02897561,high
0.81,0.6,3,140,2,0,0,0,technical,0.012857143,high
0.5,0.85,4,150,2,0,0,0,support,0.022666667,high
0.93,0.77,3,202,5,0,0,0,support,0.011435644,high
0.89,0.84,3,166,2,0,0,0,support,0.015180723,high
0.3,0.48,2,104,2,0,0,0,technical,0.009230769,high
0.23,0.49,5,214,5,0,0,0,IT,0.011448598,high
0.99,0.82,6,185,4,1,0,0,sales,0.026594595,high
0.17,0.86,3,286,6,0,0,0,marketing,0.009020979,high
0.93,0.82,5,272,3,0,0,0,sales,0.015073529,high
0.44,0.87,2,140,4,0,0,0,sales,0.012428571,high
0.78,0.56,5,252,2,0,0,0,sales,0.011111111,high
0.76,0.87,4,161,3,0,0,0,sales,0.021614907,high
0.7,0.48,4,229,2,0,0,0,technical,0.008384279,high
0.71,0.97,3,219,3,0,0,0,technical,0.013287671,high
0.79,0.6,4,161,3,0,0,0,technical,0.014906832,high
0.81,0.69,5,109,2,0,0,0,IT,0.031651376,high
0.35,0.81,5,182,5,0,0,0,sales,0.022252747,high
0.59,0.57,4,261,2,0,0,0,IT,0.008735632,high
0.74,0.85,4,105,5,0,0,0,sales,0.032380952,high
0.17,0.91,6,246,5,0,0,0,IT,0.022195122,high
0.74,0.48,5,165,2,0,0,0,sales,0.014545455,high
0.68,0.92,3,226,2,0,0,0,IT,0.012212389,high
0.17,0.73,4,274,3,0,0,0,accounting,0.010656934,high
0.84,0.61,4,261,2,0,0,0,accounting,0.009348659,high
0.96,0.59,3,158,3,1,0,0,accounting,0.011202532,high
0.62,0.96,5,251,2,0,0,0,hr,0.019123506,high
0.57,0.7,3,158,3,0,0,0,hr,0.013291139,high
0.98,0.87,3,246,3,0,0,0,hr,0.010609756,high
0.72,0.99,4,227,3,0,0,0,hr,0.017444934,high
0.43,0.46,4,169,5,0,0,0,technical,0.010887574,high
0.68,0.57,5,187,4,0,0,0,technical,0.015240642,high
0.69,0.86,4,238,3,0,0,0,technical,0.014453782,high
0.91,0.66,4,139,3,0,0,0,technical,0.018992806,high
0.42,0.37,2,284,3,0,0,0,technical,0.002605634,high
0.56,0.63,4,271,2,1,0,0,product_mng,0.009298893,high
0.77,0.66,6,181,4,0,0,0,product_mng,0.021878453,high
0.39,0.38,4,135,2,0,0,0,product_mng,0.011259259,high
0.52,0.62,3,275,2,0,0,0,IT,0.006763636,high
0.63,0.91,3,252,2,0,0,0,RandD,0.010833333,high
0.49,0.46,2,129,2,0,0,0,RandD,0.007131783,high
0.2,0.47,4,230,4,0,0,0,RandD,0.008173913,high
0.21,0.94,3,287,5,0,0,0,RandD,0.009825784,high
0.48,0.51,4,152,4,0,0,0,accounting,0.013421053,high
0.9,0.66,4,242,3,0,0,0,support,0.010909091,high
0.17,0.5,4,267,6,0,0,0,support,0.007490637,high
0.8,0.4,5,199,4,1,0,0,support,0.010050251,high
0.22,0.96,3,213,3,0,0,0,support,0.013521127,high
0.61,0.41,3,103,2,0,0,0,technical,0.011941748,high
0.7,0.68,4,143,5,0,0,0,IT,0.019020979,high
0.62,0.7,5,180,4,0,0,0,product_mng,0.019444444,high
0.87,0.98,4,266,2,1,0,0,product_mng,0.014736842,high
0.63,0.86,4,169,2,0,0,0,sales,0.02035503,high
0.14,0.52,4,122,2,0,0,0,sales,0.01704918,high
0.52,0.62,3,179,3,0,0,0,sales,0.010391061,high
0.76,0.64,4,144,2,0,0,0,sales,0.017777778,high
0.84,0.54,4,156,4,0,0,0,sales,0.013846154,high
0.53,0.84,4,219,2,0,0,0,hr,0.015342466,high
0.75,0.91,4,243,3,0,0,0,technical,0.014979424,high
0.65,0.6,3,142,2,0,0,0,support,0.012676056,high
0.53,0.69,4,257,4,0,0,0,support,0.0107393,high
0.72,0.58,4,255,2,0,0,0,RandD,0.009098039,high
0.56,0.59,5,209,2,1,0,0,hr,0.014114833,high
0.57,0.42,4,154,5,0,0,0,RandD,0.010909091,high
0.59,0.79,3,270,3,0,0,0,technical,0.008777778,high
0.56,0.56,3,162,2,0,0,0,RandD,0.01037037,high
0.91,0.81,4,139,2,0,0,0,technical,0.023309353,high
0.6,0.6,4,201,3,0,0,0,RandD,0.011940299,high
0.52,0.51,2,232,4,0,0,0,technical,0.004396552,high
0.32,0.5,2,143,3,0,0,0,technical,0.006993007,high
0.88,0.99,3,190,5,0,0,0,technical,0.015631579,high
0.6,0.87,3,196,3,1,0,0,technical,0.013316327,high
0.72,0.8,3,213,3,0,0,0,technical,0.011267606,high
0.65,0.9,3,200,3,0,0,0,technical,0.0135,high
0.82,0.78,5,166,2,0,0,0,technical,0.023493976,high
0.67,0.92,5,258,3,0,0,0,technical,0.017829457,high
0.44,0.87,5,104,4,0,0,0,technical,0.041826923,high
0.52,0.85,5,173,2,0,0,0,support,0.024566474,high
0.54,0.51,2,176,3,0,0,0,support,0.005795455,high
0.67,0.76,5,181,3,0,0,0,support,0.020994475,high
0.51,0.83,3,136,3,0,0,0,marketing,0.018308824,high
0.54,0.55,4,208,5,0,0,0,sales,0.010576923,high
0.53,0.73,5,174,3,0,0,0,accounting,0.020977011,high
0.72,0.84,4,250,3,0,0,0,support,0.01344,high
0.57,0.61,2,189,2,1,0,0,technical,0.006455026,high
0.81,0.77,3,204,3,0,0,0,management,0.011323529,high
0.64,0.57,4,217,3,0,0,0,marketing,0.010506912,high
0.77,0.57,5,162,3,0,0,0,marketing,0.017592593,high
0.75,0.85,4,272,4,0,0,0,technical,0.0125,high
0.79,0.36,3,114,3,0,0,0,technical,0.009473684,high
0.85,0.65,3,187,2,0,0,0,management,0.010427807,high
0.15,0.78,5,255,3,0,0,0,IT,0.015294118,high
0.73,0.67,4,153,3,0,0,0,IT,0.01751634,high
0.8,0.55,4,144,5,1,0,0,product_mng,0.015277778,high
0.66,0.84,3,211,4,0,0,0,RandD,0.011943128,high
0.57,0.5,4,177,2,0,0,0,marketing,0.011299435,high
0.88,0.89,2,201,3,0,0,0,accounting,0.008855721,high
0.52,0.82,4,206,2,1,0,0,sales,0.01592233,high
0.59,0.62,3,212,2,1,0,0,sales,0.008773585,high
0.64,0.64,3,234,3,1,0,0,sales,0.008205128,high
0.82,0.52,5,225,2,0,0,0,accounting,0.011555556,high
0.98,0.98,4,259,2,0,0,0,hr,0.015135135,high
0.46,0.38,6,140,3,0,0,0,technical,0.016285714,high
0.65,0.83,4,263,3,1,0,0,support,0.012623574,high
0.88,0.65,3,268,2,0,0,0,support,0.007276119,high
0.79,0.66,3,183,3,0,0,0,management,0.010819672,high
0.51,0.76,2,239,3,0,0,0,support,0.006359833,high
0.54,0.9,3,164,3,0,0,0,technical,0.016463415,high
0.57,0.49,3,159,4,1,0,0,technical,0.009245283,high
0.22,0.57,5,174,6,0,0,0,technical,0.01637931,high
0.58,0.77,3,180,2,0,0,0,accounting,0.012833333,high
0.97,0.63,3,270,4,1,0,0,technical,0.007,high
0.74,0.96,5,222,2,0,0,0,support,0.021621622,high
0.92,0.67,4,241,3,0,0,0,technical,0.011120332,high
0.24,0.48,4,145,3,1,0,0,technical,0.013241379,high
0.69,1,5,237,3,0,0,0,technical,0.021097046,high
0.81,0.57,4,213,4,0,0,0,technical,0.010704225,high
0.61,0.48,4,257,2,0,0,0,support,0.007470817,high
0.75,0.86,6,114,4,0,0,0,support,0.045263158,high
0.69,0.86,4,214,2,0,0,0,support,0.016074766,high
0.53,0.49,3,191,3,0,0,0,support,0.007696335,high
0.93,0.96,4,223,3,1,0,0,support,0.017219731,high
0.15,0.67,5,249,5,0,0,0,support,0.013453815,high
0.48,0.41,5,286,3,0,0,0,support,0.007167832,high
0.67,0.73,4,251,3,0,0,0,support,0.011633466,high
0.73,0.89,3,226,3,1,0,0,technical,0.011814159,high
0.97,0.58,4,187,4,1,0,0,management,0.012406417,high
0.54,0.81,3,145,2,0,0,0,marketing,0.016758621,high
0.59,0.55,4,138,2,0,0,0,marketing,0.015942029,high
0.99,0.95,3,153,4,0,0,0,marketing,0.018627451,high
0.79,0.75,4,168,3,0,0,0,sales,0.017857143,high
0.96,0.37,3,111,2,0,0,0,sales,0.01,high
0.54,0.67,3,154,2,0,0,0,sales,0.013051948,high
0.67,0.67,4,226,2,0,0,0,technical,0.011858407,high
